SPARSE: DENSE_PROTECTED_0, ERROR_PR: 0.0000000000, ROWS: 1000, COLS: 1000, NZmax: 90902
RMSE: 186801088.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 253473632.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 0, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 252242688.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 1000000, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 252242688.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 1000000, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 1000000, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 1000000, OUT_READ: 0, WRITE_NUM: 1000000, OUT_WRITE: 0
RMSE: 13662946.000000, ERR_PR: 0.0001000000, NUM_ERROR: 188, READ_NUM: 1000000, OUT_READ: 1000, WRITE_NUM: 1000000, OUT_WRITE: 0
RMSE: 258990368.000000, ERR_PR: 1.0000000000, NUM_ERROR: 1095000, READ_NUM: 1000000, OUT_READ: 899000, WRITE_NUM: 1000000, OUT_WRITE: 913000
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 1000000, OUT_READ: 0, WRITE_NUM: 2000000, OUT_WRITE: 0
RMSE: 250087168.000000, ERR_PR: 1.0000000000, NUM_ERROR: 1090580, READ_NUM: 1000000, OUT_READ: 911000, WRITE_NUM: 2000000, OUT_WRITE: 1921420
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 2000000, OUT_READ: 0, WRITE_NUM: 2000000, OUT_WRITE: 0
RMSE: 258029200.000000, ERR_PR: 1.0000000000, NUM_ERROR: 2122857, READ_NUM: 2000000, OUT_READ: 1911072, WRITE_NUM: 2000000, OUT_WRITE: 1893143
RMSE: 16782554.000000, ERR_PR: 0.0001000000, NUM_ERROR: 383, READ_NUM: 2000000, OUT_READ: 1512, WRITE_NUM: 2000000, OUT_WRITE: 1000
RMSE: 130959000.000000, ERR_PR: 0.0100000000, NUM_ERROR: 39706, READ_NUM: 2000000, OUT_READ: 39113, WRITE_NUM: 2000000, OUT_WRITE: 36177
