SPARSE: LIL_PROTECTED_0, ERROR_PR: 0.0000000000, ROWS: 1000, COLS: 1000, NZmax: 100000
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 183804, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 186821168.000000, ERR_PR: 1.0000000000, NUM_ERROR: 8342, READ_NUM: 2359, OUT_READ: 319, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 10679073.000000, ERR_PR: 0.0001000000, NUM_ERROR: 116, READ_NUM: 275959, OUT_READ: 8, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 187827296.000000, ERR_PR: 1.0000000000, NUM_ERROR: 619039716, READ_NUM: 1053002074, OUT_READ: 1053000729, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 187978960.000000, ERR_PR: 1.0000000000, NUM_ERROR: 1120040819, READ_NUM: 1083002023, OUT_READ: 1083000602, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 187809312.000000, ERR_PR: 1.0000000000, NUM_ERROR: 535040294, READ_NUM: 966001918, OUT_READ: 966000544, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 190952400.000000, ERR_PR: 1.0000000000, NUM_ERROR: 2115101112, READ_NUM: 3000001000, OUT_READ: 2997755574, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 186801088.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 367608, OUT_READ: 0, WRITE_NUM: 90902, OUT_WRITE: 90902
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 367608, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 366608, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 8520136, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 90902, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 181804, OUT_WRITE: 0
RMSE: 185768112.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 456510, OUT_READ: 0, WRITE_NUM: 272706, OUT_WRITE: 1000
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 272706, OUT_WRITE: 0
RMSE: 18619256.000000, ERR_PR: 0.0001000000, NUM_ERROR: 20675, READ_NUM: 40690978, OUT_READ: 40416733, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 276706, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 190852608.000000, ERR_PR: 1.0000000000, NUM_ERROR: 2115101112, READ_NUM: 3000001000, OUT_READ: 2997525782, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 272706, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 272706, OUT_WRITE: 0
RMSE: 35121016.000000, ERR_PR: 0.0000100000, NUM_ERROR: 1154, READ_NUM: 22528961, OUT_READ: 3428379, WRITE_NUM: 1272660, OUT_WRITE: 36
RMSE: 166115744.000000, ERR_PR: 0.0010000000, NUM_ERROR: 6762838, READ_NUM: 1293236102, OUT_READ: 679039373, WRITE_NUM: 98940760, OUT_WRITE: 1025898
RMSE: 186399920.000000, ERR_PR: 0.0100000000, NUM_ERROR: -1919189318, READ_NUM: 47141927781, OUT_READ: 44082696248, WRITE_NUM: 578437670, OUT_WRITE: 16448571
RMSE: 93232560.000000, ERR_PR: 0.0001000000, NUM_ERROR: 78091, READ_NUM: 147585080, OUT_READ: 49922564, WRITE_NUM: 14312091, OUT_WRITE: 3588
RMSE: 93588040.000000, ERR_PR: 0.0001000000, NUM_ERROR: 47851, READ_NUM: 91091582, OUT_READ: 30332537, WRITE_NUM: 8284866, OUT_WRITE: 19223
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 12551949, OUT_READ: 0, WRITE_NUM: 272706, OUT_WRITE: 0
