SPARSE: COO_PROTECTED_0, ERROR_PR: 0.0000000000, ROWS: 10, COLS: 10, NZmax: 50
RMSE: 1.854724, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 43, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 18.525517, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 182009, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 18.525517, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 182009, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 251669648.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 251669648.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 251669648.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 302576352.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 49267914, OUT_READ: 0, WRITE_NUM: 5672214, OUT_WRITE: 0
RMSE: 302576352.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 49267914, OUT_READ: 0, WRITE_NUM: 5672214, OUT_WRITE: 0
RMSE: 253648672.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 49267914, OUT_READ: 0, WRITE_NUM: 5672214, OUT_WRITE: 0
RMSE: 251669648.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 255384064.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 255384064.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 255384064.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 255384064.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 83420607, OUT_READ: 0, WRITE_NUM: 26147725, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46663759, OUT_READ: 0, WRITE_NUM: 841420, OUT_WRITE: 0
RMSE: 19341534.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46388205, OUT_READ: 0, WRITE_NUM: 676514, OUT_WRITE: 0
RMSE: 19341534.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46388205, OUT_READ: 0, WRITE_NUM: 676514, OUT_WRITE: 0
RMSE: 19341534.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46388205, OUT_READ: 0, WRITE_NUM: 676514, OUT_WRITE: 0
RMSE: 19341534.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46253669, OUT_READ: 0, WRITE_NUM: 676514, OUT_WRITE: 0
RMSE: 19341534.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46253669, OUT_READ: 0, WRITE_NUM: 676514, OUT_WRITE: 0
RMSE: 15792296.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46253668, OUT_READ: 0, WRITE_NUM: 676513, OUT_WRITE: 0
RMSE: 15792296.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46253668, OUT_READ: 0, WRITE_NUM: 676513, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46473765, OUT_READ: 0, WRITE_NUM: 841420, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46473770, OUT_READ: 0, WRITE_NUM: 841424, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 46473770, OUT_READ: 0, WRITE_NUM: 841424, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 82429973, OUT_READ: 0, WRITE_NUM: 30524775, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 85169473, OUT_READ: 0, WRITE_NUM: 30524775, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 90706914, OUT_READ: 0, WRITE_NUM: 30524775, OUT_WRITE: 0
RMSE: 185332976.000000, ERR_PR: 1.0000000000, NUM_ERROR: 38036076, READ_NUM: 7607575, OUT_READ: 6659231, WRITE_NUM: 4557, OUT_WRITE: 4008
RMSE: 185332976.000000, ERR_PR: 0.0100000000, NUM_ERROR: 1709652, READ_NUM: 34199711, OUT_READ: 498224, WRITE_NUM: 128124, OUT_WRITE: 1918
RMSE: 185332976.000000, ERR_PR: 0.1000000000, NUM_ERROR: 6725689, READ_NUM: 13455648, OUT_READ: 1862121, WRITE_NUM: 19308, OUT_WRITE: 2664
