SPARSE: ELLPACK_PROTECTED_0, ERROR_PR: 0.0000000010, ROWS: 1000, COLS: 1000, NZmax: 90902
RMSE: 0.000000, ERR_PR: 0.0000000010, NUM_ERROR: 0, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000050, NUM_ERROR: 1, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000100, NUM_ERROR: 2, READ_NUM: 83958470, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 426778.093750, ERR_PR: 0.0000000500, NUM_ERROR: 18, READ_NUM: 83958383, OUT_READ: 5, WRITE_NUM: 182802, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000001000, NUM_ERROR: 29, READ_NUM: 83958472, OUT_READ: 7, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 1124055.000000, ERR_PR: 0.0000010000, NUM_ERROR: 413, READ_NUM: 83957216, OUT_READ: 65, WRITE_NUM: 182794, OUT_WRITE: 0
RMSE: 3007864.250000, ERR_PR: 0.0000100000, NUM_ERROR: 4191, READ_NUM: 83945383, OUT_READ: 796, WRITE_NUM: 182746, OUT_WRITE: 0
RMSE: 16653434.000000, ERR_PR: 0.0001000000, NUM_ERROR: 41801, READ_NUM: 83802806, OUT_READ: 8346, WRITE_NUM: 182170, OUT_WRITE: 197
RMSE: 0.000000, ERR_PR: 0.0000000010, NUM_ERROR: 0, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000050, NUM_ERROR: 1, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000100, NUM_ERROR: 4, READ_NUM: 83958527, OUT_READ: 2, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000500, NUM_ERROR: 21, READ_NUM: 83958417, OUT_READ: 3, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 257867.046875, ERR_PR: 0.0000001000, NUM_ERROR: 43, READ_NUM: 83958270, OUT_READ: 10, WRITE_NUM: 182800, OUT_WRITE: 0
RMSE: 1240340.625000, ERR_PR: 0.0000010000, NUM_ERROR: 406, READ_NUM: 83958432, OUT_READ: 106, WRITE_NUM: 182794, OUT_WRITE: 0
RMSE: 3054478.750000, ERR_PR: 0.0000100000, NUM_ERROR: 4097, READ_NUM: 83945139, OUT_READ: 845, WRITE_NUM: 182752, OUT_WRITE: 0
RMSE: 15496378.000000, ERR_PR: 0.0001000000, NUM_ERROR: 41841, READ_NUM: 83796104, OUT_READ: 8383, WRITE_NUM: 182278, OUT_WRITE: 73
RMSE: 0.000000, ERR_PR: 0.0000000010, NUM_ERROR: 0, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000050, NUM_ERROR: 0, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000100, NUM_ERROR: 4, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 641182.187500, ERR_PR: 0.0000000500, NUM_ERROR: 33, READ_NUM: 83958412, OUT_READ: 8, WRITE_NUM: 182802, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000001000, NUM_ERROR: 50, READ_NUM: 83958745, OUT_READ: 9, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 1061577.875000, ERR_PR: 0.0000010000, NUM_ERROR: 403, READ_NUM: 83958216, OUT_READ: 86, WRITE_NUM: 182798, OUT_WRITE: 0
RMSE: 3417599.250000, ERR_PR: 0.0000100000, NUM_ERROR: 4038, READ_NUM: 83946524, OUT_READ: 812, WRITE_NUM: 182750, OUT_WRITE: 0
RMSE: 13935967.000000, ERR_PR: 0.0001000000, NUM_ERROR: 41927, READ_NUM: 83787881, OUT_READ: 8611, WRITE_NUM: 182222, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000010, NUM_ERROR: 1, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000050, NUM_ERROR: 3, READ_NUM: 83958527, OUT_READ: 1, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000100, NUM_ERROR: 2, READ_NUM: 83958527, OUT_READ: 1, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 61526.808594, ERR_PR: 0.0000000500, NUM_ERROR: 20, READ_NUM: 83958697, OUT_READ: 8, WRITE_NUM: 182802, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000001000, NUM_ERROR: 29, READ_NUM: 83958387, OUT_READ: 6, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 703796.687500, ERR_PR: 0.0000010000, NUM_ERROR: 456, READ_NUM: 83956536, OUT_READ: 62, WRITE_NUM: 182800, OUT_WRITE: 0
RMSE: 3908397.750000, ERR_PR: 0.0000100000, NUM_ERROR: 4273, READ_NUM: 83944149, OUT_READ: 869, WRITE_NUM: 182732, OUT_WRITE: 0
RMSE: 15438575.000000, ERR_PR: 0.0001000000, NUM_ERROR: 41778, READ_NUM: 83801396, OUT_READ: 8322, WRITE_NUM: 182188, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000010, NUM_ERROR: 1, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000050, NUM_ERROR: 3, READ_NUM: 83958527, OUT_READ: 0, WRITE_NUM: 182804, OUT_WRITE: 0
